id,name,taxa_kind_id_name,description,col_id,eol_id,Sinonimi,Autore,Etimologia,"Tipo di vegetazione","Diffusione geografica","Nome italiano",Fioritura,Altezza,"Inizio fioritura","Fine fioritura"
628347,"Trifolium arvense",Specie,"Pianta annua, eretta, diffusamente pelosa; foglioline lanceolate e caratteristici capolini ellìttici allungati, grigio-violetti, formati da fiori piccoli, bianco-rosati.",eab424abb40172678eadd8917d9a6959,703386,,Linneo,,"Cresce lungo il bordo dei sentieri e dei campi, nei luoghi sabbiosi e negli incolti fino al piano montano.","È presente in quasi tutta Europa","Pie di lepre",,,Aprile,Giugno
429346,"Trifolium campestre",Specie,"Pianta annua, con fusti ramosi pubescenti; capolini piccoli con corolle gialle poi brune.",0ae0b213d88da5ac2ff1d2fa0510ee69,703392,,Schreb,,"Presente al bordo dei campi, nei sentieri, negli incolti aridi fino al piano collinare.","Diffusa in tutta Europa","Trioglio campestre",,,Aprile,Agosto
327345,"Medicago falcata",Specie,"Simile alla precedente, con fiori bianco-giallastri e legume incurvato a falce.",1b88037e640c32cc15b3218f67dbac5e,39947262,,"(L.) Arcang.",,,,"erba medica falcata",,,,
199344,"Medicago lupulina",Specie,"Pianta annua o talora perenne, con fusti angolosi; fiori, con corolle minute, riuniti in capolini; legumi ripiegati a semicerchio di 2 mm.<br /><br />Discreta foraggera, è pianta mellifera ricercata dalle api",fe768a2a83dc35004a840afd43b8671f,646897,,,,"Si incontra negli ambienti ruderali, negli incolti aridi, sulie scarpate e bordi di campi fino a 1500 m.","È diffusa in tutta Europa.","Erba medica lupulina",,,Aprile,Luglio
462343,"Medicago orbicularis",Specie,"Pianta annua, con fusti angolosi, con fiori riuniti in racemi contratti apicali di pochi fiori (1-5), corolle gialle; legume spiralato a molla, largo e vistoso.",5e8947c370075fe3a06d4fce9559d33f,703647,,"(L.) Bartal",,"È diffusa sul bordo dei prati e dei sentieri fino a 1300 m.","Presente soprattutto nell'Europa meridionale e mediterranea.","Erba medica orbicolare",,,Aprile,Maggio
420342,"Coronilla scorpioides",Specie,"Pianta annua, con fusti eretti, foglie composte da una fogliolina grande centrale e due più piccole laterali; fiori raccolti in fascetti poveri, ascellari; corolle gialle, legumi ricurvi e articolati di 4-5 cm.<br /><br />I semi contengono un gluooside tossico e hanno proprietà purgative, si ritenevano efficaci contro le punture di scorpione, secondo la teoria della segnatura.",42f3c617f523ea14b8ef5ffe14fd7654,689295,,"(L) Koch","I frutti ricordano la coda dello scorpione","Infestante, si incontra negli incolti aridi e sabbiosi, negli ambienti ruderali fino al piano collinare","Specie presente, ma non troppo comune, nell'Europa mediterranea.","Cornetta coda di scorpione, pie dì corvo",,,Aprile,Maggio
749341,"Lotus corniculatus",Specie,"Pianta perenne, con foglie a cinque elementi, di cui i due basali sono in realtà stipole. I fiori, a corolle gialle screziate, sono raccolti in ombrelle di 3-8; il legume, di 3 cm, é cilindrico<br /><br />Buona foraggera, é coltivata con altre specie pregiate. Discreta pianta mellifera, ha proprietà astringenti e vulnerarie.",b3671f4d36bff9e9e8daf8238ae02476,702889,,Linneo,"Col termine lotós si designavano piante foraggere pregevoli","Comune nei prati falciati e concimati, nei campi, sulle scarpate, sui greti fino a 2000 m circa.","È specie comunissima in tutta Europa, salvo le regioni artiche",Ginestrino,,,Aprile,Settembre
671340,"Medicago sativa",Specie,"Pianta perenne, rizomatosa, con fusti ascendenti a foglie trifogliate, stipole lineari e margine denticolato; le corolle, grandi fino a 1 cm, violette, sono raccolte in racemi densi; il legume è spiralato a molla<br /><br />Importante foraggera, nota per questo fin dall'antichità, va data al bestiame solo secca, altrimenti provoca gonfiori. Foglie e semi sono diuretici e vulnerari; è importante pianta mellifera, soprattutto al colmo dell'estate.",844958276a11c113c1dfddd99641d4ea,703652,,Linneo,"Il nome generico deriva dalla regione Media, da cui Teofrasto pensava che provenisse.","Coltivata, si trova inselvatichita al bordo de campi, nei prati aridi, lungo i sentieri fino oltre 1000 m.","Originaria della Persia (antica Media) è oggi diffusa in coltura e inselvatichita nella maggior parte delle zone temperate","Rrba medica, erba Spagna",,,Aprile,Luglio
898339,"Tetragonolobus maritimus",Specie,"Pianta perenne, con (usti striscianti, presenta foglie a cinque elementi come il Lotus; i fiori sono isolati, lungamente peduncolati, con corolla di color giallo-citrino di 3 cm; il legume tetragonale é lungo 5 cm.",4c39e93a7ecca1fdafff3a624af5cd73,40488444,"( = T. siliquosus Roth)","(L) Roth","II nome deriva dal greco e si riferisce al baccello a quattro spigoli.","Si trova comunemente nei prati umidi e torbosi, su terreni sabbiosi fino a 1000 m circa.","Prevalentemente Europa meridionale.","Ginestrino marittimo",,,Maggio,Luglio
576338,"Ononis repens",Specie,"Simile alla precedente, rizomatosa, con foglie quasi a un segmento e poco o per nulla spinosa.",778884d37f9c21efdc385cc3a1c50988,,,Linneo,,,,"Ononide strisciante",,,,
